nameGiven,age_last_game,career_length
Nicholas,57,35
"James Henry",54,32
"Saturnino Orestes Armas",54,31
"Charles Timothy",58,30
"Walter Arlington",49,29
"Hugh Ambrose",49,27
"James Thomas",48,27
"John Joseph",48,27
"Charles Evard",49,27
"Lynn Nolan",46,27
"Adrian Constantine",45,26
"Dennis Joseph",46,25
Jamie,49,25
"Julio Cesar",49,25
"Thomas Edward",46,25
"William J.",45,24
"Rickey Nelson Henley",44,24
"Michael Thomas",42,24
"Louis Norman",46,24
"Jesse Russell",46,24
"John Picus",50,24
"John Bernard",44,24
Early,43,24
"Warren Edward",44,23
"Omar Enrique",45,23
"Roderick John",44,23
"John Rikard",43,23
"Dennis Lee",44,23
"Carlton Ernest",45,23
"Clark Calvin",44,23
"Grover Allen",46,23
"Charles Oliver",46,23
"Steven Norman",43,23
"William Roger",45,23
"Tyrus Raymond",41,23
"Edward Trowbridge",43,23
"John Walter",43,23
"James Lee",44,23
"Walter James Vincent",43,23
"Philip Henry",48,23
"John Joseph",44,23
Timothy,43,23
"Peter Edward",45,23
"Charles Herbert",42,23
"Paul Frederick",42,23
"Stanley Frank",42,22
"Joseph Henry",38,22
"Herbert Jefferis",40,22
Atanasio,44,22
"Henry Louis",42,22
"Charles Albert",41,22
"Rik Aalbert",41,22
"Daniel Joseph",41,22
"Donald Howard",43,22
"David Mark",44,22
"Carl Michael",44,22
"Richard Michael",43,22
"Theodore Amar",45,22
"Gregory Alan",42,22
"Jose Dennis",44,22
"Willie Howard",42,22
"Randall David",46,21
"Samuel Pond",43,21
"Albert William",39,21
"Harmon Clayton",39,21
"James Timothy",38,21
"Clarence Elmer",41,21
"Enos Bradsher",43,21
"John Andrew",42,21
"James Howard",42,21
"Samuel Luther",46,21
"Elmer William",40,21
"James Barton",42,21
"Theodore Samuel",42,21
"Denton True",44,21
"Joe Leonard",41,21
Graig,44,21
"Joseph Franklin",43,21
"Melvin Thomas",38,21
"Gaylord Jackson",45,21
Jerry,41,21
Eppa,42,21
"Brooks Calbert",40,21
"James Luther",41,21
"Gary Antonian",40,21
"Harold Douglas",42,21
"Walter William",40,21
"Barry Lamar",43,21
"Guy Terrell",43,21
"Fred Clifford",42,21
"Harry H.",43,21
"James Joseph",42,21
"John Anthony",44,21
"Thomas Michael",42,21
