teamID,yearID,yr_spend_mil,cumulative_spend_mil
ANA,1997,31.14,31.14
ANA,1998,41.28,72.42
ANA,1999,55.39,127.80
ANA,2000,51.46,179.27
ANA,2001,47.54,226.80
ANA,2002,61.72,288.53
ANA,2003,79.03,367.56
ANA,2004,100.53,468.09
ARI,1998,32.35,32.35
ARI,1999,68.70,101.05
ARI,2000,81.03,182.08
ARI,2001,85.08,267.16
ARI,2002,102.82,369.98
ARI,2003,80.66,450.64
ARI,2004,69.78,520.42
ARI,2005,62.33,582.75
ARI,2006,59.68,642.43
ARI,2007,52.07,694.50
ARI,2008,66.20,760.70
ARI,2009,73.12,833.82
ARI,2010,60.72,894.54
ARI,2011,53.64,948.18
ARI,2012,73.80,1021.98
ARI,2013,90.13,1112.11
ARI,2014,97.86,1209.98
ATL,1985,14.81,14.81
ATL,1986,17.10,31.91
ATL,1987,16.54,48.45
ATL,1988,12.73,61.18
ATL,1989,11.11,72.29
ATL,1990,14.56,86.85
ATL,1991,18.40,105.25
ATL,1992,34.63,139.88
ATL,1993,41.64,181.52
ATL,1994,49.38,230.90
ATL,1995,47.24,278.14
ATL,1996,49.70,327.84
ATL,1997,52.28,380.12
ATL,1998,61.19,441.30
ATL,1999,73.14,514.44
ATL,2000,84.54,598.98
ATL,2001,91.94,690.92
ATL,2002,92.87,783.79
ATL,2003,106.24,890.03
ATL,2004,90.18,980.21
ATL,2005,86.46,1066.67
ATL,2006,90.16,1156.83
ATL,2007,87.29,1244.12
ATL,2008,102.37,1346.48
ATL,2009,96.73,1443.21
ATL,2010,84.42,1527.63
ATL,2011,87.00,1614.64
ATL,2012,82.83,1697.47
ATL,2013,87.87,1785.34
ATL,2014,97.61,1882.95
BAL,1985,11.56,11.56
BAL,1986,13.00,24.56
BAL,1987,13.90,38.46
BAL,1988,13.53,51.99
BAL,1989,8.28,60.27
BAL,1990,9.68,69.95
BAL,1991,17.52,87.47
BAL,1992,23.78,111.25
BAL,1993,29.10,140.35
BAL,1994,38.85,179.20
BAL,1995,43.94,223.14
BAL,1996,54.49,277.63
BAL,1997,58.52,336.14
BAL,1998,72.36,408.50
BAL,1999,80.61,489.11
BAL,2000,81.45,570.55
BAL,2001,67.60,638.15
BAL,2002,60.49,698.65
BAL,2003,73.88,772.52
